State,County,FIPS,MapDate,DSCI
AZ,Apache County,04001,20140429,285
AZ,Apache County,04001,20140506,286
AZ,Apache County,04001,20140513,298
AZ,Apache County,04001,20140520,298
AZ,Apache County,04001,20140527,298
AZ,Apache County,04001,20140603,298
AZ,Apache County,04001,20140610,312
AZ,Apache County,04001,20140617,312
AZ,Apache County,04001,20140624,312
AZ,Apache County,04001,20140701,312
AZ,Apache County,04001,20140708,312
AZ,Apache County,04001,20140715,308
AZ,Apache County,04001,20140722,328
AZ,Apache County,04001,20140729,320
AZ,Apache County,04001,20140805,318
AZ,Apache County,04001,20140812,318
AZ,Apache County,04001,20140819,308
AZ,Apache County,04001,20140826,308
AZ,Apache County,04001,20140902,308
AZ,Apache County,04001,20140909,308
AZ,Apache County,04001,20140916,308
AZ,Apache County,04001,20140923,309
AZ,Apache County,04001,20140930,308
AZ,Apache County,04001,20141007,308
AZ,Apache County,04001,20141014,308
